"","X","alpha_1","alpha_2","alpha_3","halflife_1","halflife_2","halflife_3","sigma2_1","sigma2_2","sigma2_3","stv_1","stv_2","stv_3","rho_1","rho_2","rho_3","theta_1","theta_2","theta_3","sim","state"
"1",1,0.00455766859681582,0.00931385593480786,0.00732151747320718,152.083716890738,74.4210760196007,94.6726116677985,0.101041627307922,0.0524902655294282,0.400446907839447,11.0847931526344,2.81785899936786,27.3472616370081,0.543546219861592,0.740807034227407,0.679927547869861,-3.29235684714195,-5.87565903841761,2.71945041445933,1,"sd"
"2",2,0.00482688822573073,0.00482688822573073,0.00482688822573073,143.601249530698,143.601249530698,143.601249530698,0.0631844256352908,0.0631844256352908,0.0631844256352908,6.54504752134855,6.54504752134855,6.54504752134855,0.560649104605789,0.560649104605789,0.560649104605789,7.83869842533022,7.83869842533022,7.83869842533022,1,"sx"
"3",3,0.0054104474600569,0.0034658622193924,0.0133134460181437,128.112727399566,199.992710812798,52.063694074045,0.0743879965964614,0.0483057597930219,0.188293532514293,6.87447730946815,6.96879401649879,7.07155503757948,0.594414025143258,0.462387317155866,0.815239348437242,-2.67217917274761,-1.80424877274858,-1.70306067446671,2,"sd"
"4",4,0.00375234923432297,0.00375234923432297,0.00375234923432297,184.723525790106,184.723525790106,184.723525790106,0.0382679222088591,0.0382679222088591,0.0382679222088591,5.09919517336233,5.09919517336233,5.09919517336233,0.485701803305896,0.485701803305896,0.485701803305896,6.95568347349763,6.95568347349763,6.95568347349763,2,"sx"
"5",5,0.0130854897151182,0.00438201760577653,0.0178340378011375,52.9706717631764,158.179916859808,38.8665308602035,0.16049724988679,0.25052325086473,0.249556309133317,6.13264208604137,28.585377034369,6.99662947662363,0.812104166188668,0.53181844181859,0.861540791018136,-1.99404614731466,-5.17030948555025,1.33140293998371,3,"sd"
"6",6,0.0122332438586407,0.0122332438586407,0.0122332438586407,56.6609468894347,56.6609468894347,56.6609468894347,0.61078324707029,0.61078324707029,0.61078324707029,24.9640755194655,24.9640755194655,24.9640755194655,0.799431297687833,0.799431297687833,0.799431297687833,-6.49565006606281,-6.49565006606281,-6.49565006606281,3,"sx"
"7",7,0.00611419979792615,0.00410941930962198,0.0131206881207431,113.366786082956,168.672780345627,52.8285692168931,0.173209750151438,0.246987079100517,0.15928514543709,14.1645477638945,30.0513357838916,6.06999968184858,0.629881914298436,0.512668017423215,0.812594870666494,3.06810355991655,5.41203671430049,-3.49596508083904,4,"sd"
"8",8,0.00681269761097991,0.00681269761097991,0.00681269761097991,101.743423844735,101.743423844735,101.743423844735,0.132326741957674,0.132326741957674,0.132326741957674,9.71177274508744,9.71177274508744,9.71177274508744,0.660307507786507,0.660307507786507,0.660307507786507,7.14261864311993,7.14261864311993,7.14261864311993,4,"sx"
"9",9,0.00512143322741377,0.00408134431534426,0.00437275253301566,135.342422673735,169.833056709767,158.515071531367,0.264160098956987,0.164124787063003,0.318930941027578,25.7896654341799,20.1067068080923,36.4679842524301,0.578229186702556,0.510627197441786,0.531186838469753,4.75427434998414,-4.8104123785035,-4.27990285191892,5,"sd"
"10",10,0.00436678689183602,0.00436678689183602,0.00436678689183602,158.731625272538,158.731625272538,158.731625272538,0.0985453718921148,0.0985453718921148,0.0985453718921148,11.2835105459751,11.2835105459751,11.2835105459751,0.530779457243189,0.530779457243189,0.530779457243189,8.59045423567295,8.59045423567295,8.59045423567295,5,"sx"
"11",11,0.0145387415412199,0.00676115736145359,0.00681586567489149,47.6758719862204,102.519013166545,101.696132761739,0.27177717281516,0.416016866088895,0.154368956998006,9.34665397430112,30.7652110318177,11.3242370346789,0.830506755484917,0.65820706374706,0.660435909862192,-0.589615459594133,-4.78931401676525,1.26401022334135,6,"sd"
"12",12,0.0075013120395743,0.0075013120395743,0.0075013120395743,92.4034591419665,92.4034591419665,92.4034591419665,0.310998425555694,0.310998425555694,0.310998425555694,20.7296019626283,20.7296019626283,20.7296019626283,0.686404685463483,0.686404685463483,0.686404685463483,5.63622943591326,5.63622943591326,5.63622943591326,6,"sx"
"13",13,0.00448385468859825,0.00651936660721873,0.018286890084826,154.587342520825,106.3212459616,37.9040491491279,0.105941082960477,0.221867713026788,0.436851247229107,11.813616889712,17.0160482140335,11.9443832494951,0.538674303875812,0.648056342517065,0.864952954947906,-6.91281792030766,1.31914405031111,1.2358476021856,7,"sd"
"14",14,0.00549836389549495,0.00549836389549495,0.00549836389549495,126.064260884564,126.064260884564,126.064260884564,0.323233844758607,0.323233844758607,0.323233844758607,29.3936388080322,29.3936388080322,29.3936388080322,0.599140228315954,0.599140228315954,0.599140228315954,5.4953153943643,5.4953153943643,5.4953153943643,7,"sx"
"15",15,0.00391354620293926,0.0052096260882716,0.00353452701397391,177.114858140517,133.051234160629,196.107478545094,0.0383657820741629,0.0931636202665295,0.173188612181697,4.90166463926609,8.94148818820877,24.4995456955044,0.498151244548396,0.583276070331772,0.468118859031831,2.0915983544719,-0.479608065444932,-3.49851061020187,8,"sd"
"16",16,0.00768729736787807,0.00768729736787807,0.00768729736787807,90.1678636052654,90.1678636052654,90.1678636052654,0.184109684866821,0.184109684866821,0.184109684866821,11.9749292928446,11.9749292928446,11.9749292928446,0.692872035046272,0.692872035046272,0.692872035046272,-4.58026898093522,-4.58026898093522,-4.58026898093522,8,"sx"
"17",17,0.00421978375477159,0.0168077342131106,0.00757072974508587,164.261303621579,41.2397751993999,91.5561912654278,0.0691509116041013,0.239464442833091,0.31367634396256,8.19365583910641,7.12363843326068,20.7163876220893,0.520564761723316,0.853141837631377,0.688845705019437,-2.91989647558381,-5.12120166034702,-2.44616391613736,9,"sd"
"18",18,0.00458946267721475,0.00458946267721475,0.00458946267721475,151.03013779831,151.03013779831,151.03013779831,0.0409323954297229,0.0409323954297229,0.0409323954297229,4.45938863746942,4.45938863746942,4.45938863746942,0.545619967472542,0.545619967472542,0.545619967472542,9.39895951189101,9.39895951189101,9.39895951189101,9,"sx"
"19",19,0.00729109297005051,0.00695542322019343,0.0127699990082864,95.0676645335855,99.6556440372393,54.2793449012929,0.440304421579048,0.296038379024372,0.238144472178676,30.1946788628042,21.2811190385148,9.32437316651885,0.678808886941614,0.666012201995968,0.807594227520756,4.51631564171458,-4.6198784054821,-8.87606195557741,10,"sd"
"20",20,0.0109004737797854,0.0109004737797854,0.0109004737797854,63.5887205054668,63.5887205054668,63.5887205054668,0.251237522220117,0.251237522220117,0.251237522220117,11.5241560731988,11.5241560731988,11.5241560731988,0.77605567038524,0.77605567038524,0.77605567038524,5.09759670589119,5.09759670589119,5.09759670589119,10,"sx"
"21",21,0.0109163783712533,0.00413898108709879,0.00542633204754129,63.4960750705793,167.468071482734,127.737700989753,0.30949161734754,0.207665771869929,0.128828114883887,14.1755629395617,25.0865813952647,11.8706442727054,0.776364313805615,0.514802777341244,0.595274571535207,-3.49713591419698,2.18261991350806,9.15082553978191,11,"sd"
"22",22,0.00569838234784484,0.00569838234784484,0.00569838234784484,121.639289582262,121.639289582262,121.639289582262,0.139666935115031,0.139666935115031,0.139666935115031,12.254963478175,12.254963478175,12.254963478175,0.609567212162422,0.609567212162422,0.609567212162422,6.30902250297368,6.30902250297368,6.30902250297368,11,"sx"
"23",23,0.0134930080195468,0.00471368669109892,0.00528846248140077,51.3708418134642,147.04990509209,131.067807136328,0.560266992698547,0.635316764533324,1.09264363144467,20.7613821872376,67.3906441144065,103.304470371818,0.817639409061293,0.553582484994285,0.587706309771968,-3.19483501213145,4.12304872564006,-0.397198944376873,12,"sd"
"24",24,0.00462612852683695,0.00462612852683695,0.00462612852683695,149.833100515665,149.833100515665,149.833100515665,0.301311592331435,0.301311592331435,0.301311592331435,32.5662798367443,32.5662798367443,32.5662798367443,0.547993209384593,0.547993209384593,0.547993209384593,-1.79782667662948,-1.79782667662948,-1.79782667662948,12,"sx"
"25",25,0.00658883205044178,0.0219709143200465,0.00374042364793332,105.200310958521,31.5483994185672,185.312479494917,0.117128066340877,0.503619250671459,0.0556213676397104,8.88837850503591,11.461044436643,7.4351694988404,0.65102366920264,0.887544031362495,0.484762125387442,5.34504380436476,-2.02050865355658,-1.01933707232237,13,"sd"
"26",26,0.0192499995441643,0.0192499995441643,0.0192499995441643,36.0076465960269,36.0076465960269,36.0076465960269,0.413209662570623,0.413209662570623,0.413209662570623,10.7327187624763,10.7327187624763,10.7327187624763,0.871684263958648,0.871684263958648,0.871684263958648,9.70624381210655,9.70624381210655,9.70624381210655,13,"sx"
"27",27,0.00458024458019665,0.00495124964732733,0.0035704951608625,151.334097649909,139.994391301619,194.131947903973,0.377839752370702,0.0743853075787202,0.065226301013867,41.2466786167214,7.51177105550244,9.13406937626415,0.545020243721407,0.568210872788106,0.471084434073185,-4.3007846902371,-3.33392791042866,0.630618489863052,14,"sd"
"28",28,0.0034518146831183,0.0034518146831183,0.0034518146831183,200.806602958699,200.806602958699,200.806602958699,0.13753141582001,0.13753141582001,0.13753141582001,19.9216105795932,19.9216105795932,19.9216105795932,0.461203283527622,0.461203283527622,0.461203283527622,7.31046680361032,7.31046680361032,7.31046680361032,14,"sx"
"29",29,0.00412367102755776,0.00962990721222508,0.0275491214678964,168.089834501289,71.9785939037919,25.1604096111626,0.0855057490165152,0.258039988529167,0.319254750766981,10.3676734207331,13.3978439689215,5.79428188189261,0.513698987459502,0.748602875785694,0.91030331375554,1.7030240007367,4.76074699312244,-2.08617883914091,15,"sd"
"30",30,0.0120622461449516,0.0120622461449516,0.0120622461449516,57.4641880318493,57.4641880318493,57.4641880318493,0.417959926226031,0.417959926226031,0.417959926226031,17.3251283883376,17.3251283883376,17.3251283883376,0.796691898404096,0.796691898404096,0.796691898404096,-5.7250499445945,-5.7250499445945,-5.7250499445945,15,"sx"
"31",31,0.00707644450471795,0.00400092839655946,0.0118375795380001,97.9513341901878,173.24658475668,58.5548066084674,0.317960204592487,0.413680337831174,0.639304033289687,22.4660989272578,51.6980431575472,27.0031568209296,0.670723957342192,0.50470831502256,0.792984035813016,-2.01458432233522,8.29689816172374,2.64607725862665,16,"sd"
"32",32,0.00539766471892741,0.00539766471892741,0.00539766471892741,128.416123759848,128.416123759848,128.416123759848,0.241872241800548,0.241872241800548,0.241872241800548,22.4052673142517,22.4052673142517,22.4052673142517,0.593719380646467,0.593719380646467,0.593719380646467,9.36692326329648,9.36692326329648,9.36692326329648,16,"sx"
"33",33,0.00989078164559483,0.0318328230011789,0.00408293649782901,70.080121611891,21.7746060578503,169.766828587343,0.276524102603641,1.27319924180216,0.12602972511778,13.9788801589205,19.9982144492025,15.4337111518625,0.754725411922051,0.922372759870679,0.510743287594857,-4.88151581221843,-6.05075526505002,5.48760413908384,17,"sd"
"34",34,0.0100733631809261,0.0100733631809261,0.0100733631809261,68.8099066925747,68.8099066925747,68.8099066925747,0.636150800461284,0.636150800461284,0.636150800461284,31.5758892554292,31.5758892554292,31.5758892554292,0.758851876851342,0.758851876851342,0.758851876851342,7.59151664562523,7.59151664562523,7.59151664562523,17,"sx"
"35",35,0.00799547643253121,0.00507722878695717,0.00726393854974346,86.6924174449112,136.520769428504,95.4230512570106,0.366195369071712,0.178252688012567,0.0586040345024752,22.900159368976,17.5541319381232,4.03390213870579,0.703095221591485,0.5756627847233,0.677804824893325,3.64356148650265,-4.07046838491316,-2.67772372276517,18,"sd"
"36",36,0.00466930413279209,0.00466930413279209,0.00466930413279209,148.447640343673,148.447640343673,148.447640343673,0.100763184542065,0.100763184542065,0.100763184542065,10.7899573123128,10.7899573123128,10.7899573123128,0.550762973157235,0.550762973157235,0.550762973157235,-6.07974890153855,-6.07974890153855,-6.07974890153855,18,"sx"
"37",37,0.00353965959731354,0.00923176112474072,0.00750410362696082,195.823118439416,75.0828765166314,92.3690843060321,0.0692760271748658,0.245565026414598,0.294116029759486,9.78569058271077,13.300009775843,19.5970128066184,0.468543574911203,0.73871074432418,0.686503482402749,-2.38682363880364,-3.83263824963835,4.48910467918641,19,"sd"
"38",38,0.00393907331496594,0.00393907331496594,0.00393907331496594,175.967067667015,175.967067667015,175.967067667015,0.0542423683888866,0.0542423683888866,0.0542423683888866,6.885168674419,6.885168674419,6.885168674419,0.50008045946226,0.50008045946226,0.50008045946226,-1.49933580309153,-1.49933580309153,-1.49933580309153,19,"sx"
